	name	musicbrainz_id	id
0	The Scenic	a8e347d8-29d8-459c-a444-68febeb99c6b	500
1	Our Family Name	fc93c97f-1b9b-49af-8370-7b36e29ad22e	710
2	Khamelien		744
3	Death in the Park	000c60eb-a2c4-46be-9097-e603fd8795c6	786
4	Enter the Collector	f50c0834-e2a7-4241-bd32-061d67560c41	818
5	Shorelines End		952
6	Hollywood Ave	2e258b9f-88bd-42a8-8bec-d977a1254546	1017
7	Play for keeps	276f57a2-7ba9-41e7-bb11-6d56729bb1f7	1086
8	Pan Trees	d4cbfbd0-3b75-4430-9722-57c174901c83	1242
9	Dearth		1978
10	Dead Reprise	e9e4e778-fdd3-46c8-8c03-36e31a014b54	2005
11	Crime Lab	7b0cbb25-c0e3-4e47-9abd-e7378a01945a	2138
12	Beat Union	79edf7bc-0b58-4c52-92f0-37a0faa57038	2311
13	Big City Kids	e3dda876-0e6f-4996-bf01-7e8798ded368	2337
14	Idle Sons	bdd52c2d-2bf1-426e-a992-94616aa1d46b	2982
15	Spanish Gamble	6d574d88-b5d6-469f-943d-bcb501a9612e	3103
16	Demiricous	f9974a34-a5ed-4e1c-8059-8225e113a43a	3326
17	The Mystic Underground	d6cb1345-d8af-4c63-bf47-e577a625c4aa	3606
18	The Students	ab4c5827-9332-4c4b-b080-d53b05b7183e	3675
19	Redink		4297
20	The Atomic Ballroom Calamity		4359
21	aderbat		4970
22	Donnie Sloan	c464c26d-fa5e-4085-9239-388f3c6157ae	5153
23	The American Life	3c472548-0391-481b-8e61-0d3eef8f9a2d	5246
24	Stan Ipcus	3e0aba46-36f9-4a72-8f1a-b876204b49b0	5673
25	Seconds to Breathe	747819a3-1f05-4be3-a2ed-b23c33d127cd	5954
26	Guy Chambers & Sophie Hunter	229d2f2b-a4ce-4f6a-bde5-152804593304	6039
27	Hey Dakota		6345
28	All's Quiet		6528
29	Ever Ready Records	3dbddfe3-8d66-4012-b963-b11ee3f2ad2d	6744
30	Storm The Beaches		7034
31	We Are The Fury	c98d1841-f2bf-406b-931d-84516fc2e50b	7061
32	Eric Scot Porter	5c55ab4f-0b41-4537-8035-7c90d52df5f0	7163
33	Epollo		7165
34	Honesty Eyes	c5118628-0c47-4a8a-86f9-a0e638be697e	7173
35	Gone By Daylight	921e530c-5c29-489a-aa46-fd9d8cc04c2a	7627
36	The OverUnder	c8394169-6e07-4a4c-8adc-7055b4421279	8325
37	Olde York	94c126da-78de-414d-8d52-2a37069eb518	8756
38	rebecca correia	081c95a4-b3bf-4992-b240-85d0f2a58750	9115
39	Dremnt the End	5d3850e2-2798-4ed8-95e9-0be87665c326	9166
40	Young twinn	223ce0b2-865b-4039-b67c-f59894d413de	9343
41	The Erection Kids	82afc7d5-b773-48bc-a511-8678485a9f23	9809
42	MoeRoc		10008
43	Beight	c1fe023a-d869-4404-a927-b46bdf348875	10606
44	slowEarth	7077f68e-ae63-4883-8524-29ed8816ec68	10889
45	Luna Angel	b8b9ec90-126b-4f29-b380-cdc451653007	11073
46	Dallas Superstars	2284f210-0229-4f19-a64f-a811a7f114c9	11384
47	Not Sorry	7657ca7f-bac5-4671-a937-8a7160b3fb78	12343
48	Majic ship	f73d124a-6ac5-4d5c-9df3-8425727ee327	12411
49	Hello Nurse	289a6156-00d3-4201-9540-1798e2c01e61	12415
50	Dirty Bird	544f63c1-33f0-4e41-829c-74488e763851	12681
51	Quincy Coleman	b6dab43e-a42f-4795-b6eb-5b44c4f03f3d	13316
52	Jayson Belt	893b9756-3be9-4a11-91d7-193c6738125b	13644
53	Metal Kites	72f153e9-364c-4a40-8306-0657ac36b817	13993
54	Jelly Joe	588e04c6-cfd8-4f12-ac2c-035fe33c6b85	14124
55	DJ Impact	1caaafed-6995-4395-9621-63bf63162c56	14307
56	Buen Chico	2a6c8647-6178-4e83-9b9c-5314f7e23bce	14628
57	Fast Heart Mart	337818dd-e77c-4184-b706-b47589a7ce9a	14807
58	Luc Skyz	6e9ba48a-5972-4cf1-bd9f-9d35248c73bc	15039
59	Greg Howe & Ritchie Kotzen	c5583f98-458e-4de7-8176-00e8e0d3ebea	15075
60	Willie Isz	23cd5cb7-50f7-419d-a4c9-f758ea68e030	15134
61	Midevil		15299
62	Eli Bolin		15412
63	Raina Rose	399f28a0-6837-4014-8092-d5bced4f6b41	15672
64	Felina	6f393ff8-1f77-40f5-8515-2f72b0c28cf2	15683
65	Boss Volenti	52980b00-2ac6-4e91-89a4-b8dc6cc2287e	16764
66	Buddy Leezle	06c9a271-c45f-48f0-8f8a-39f861e7f8bd	17038
67	Calmer	38acdf39-6586-452e-b92d-b569a1333b2c	17172
68	Canabasse		17247
69	LoudLion	e8e779e1-edec-45bc-ba43-e0d28f48400c	17322
70	Circus Diablo	877f5179-607d-4a27-8361-439e4e851504	17403
71	Onion Flavored Rings	2b34c270-cfed-418a-9ee3-ae6125d841c8	17672
72	Otis Jackson Jr. Trio	10e2c144-8782-4fd5-a0ba-3a7125266695	17698
73	Pretty Boy Thorson & The Falling Angels	21f3822b-7e97-41a2-bdc2-347d9fe1177c	18278
74	Shot Baker	9c825e0b-4d4e-4155-a3f0-263c62d6d195	18358
75	RU36	c44cedbc-9a92-4572-b357-15bbd23d0798	18486
76	Qurage		18489
77	Blackbyrd McKnight	c94a1d00-739c-464b-8984-2e01367fbce3	18751
78	Ova Looven	cfce497d-d5a6-4634-a232-032030daebd2	18904
79	Fitter		19243
80	Yovee		19267
81	Annie Bethancourt	e3b26c0e-1aee-4203-a361-dd6216812232	19288
82	Sammy Blaze	d564168f-eefb-4841-afa1-0e84074d53e8	19361
83	The Give It Ups	36597a25-8cfc-47a9-8d83-a4cf70f301d4	19362
84	Severance	e817449b-a4fd-4e96-974b-8593d07758f6	19432
85	LaMaW		19598
86	Dan Padilla	7dd62fa4-d408-446e-818d-21548b041559	19689
87	Freestyle Evolution	db16ea37-11b2-4b9f-9a2c-0dabcd86aa26	19806
88	The Fatal Flaw	94a65125-70ec-4316-950e-f82c9f23f12e	20412
89	Now That&#39;s What I Call Music	5c5b2c0d-c221-42d3-93db-01744062dede	21091
90	NOTIIBELIKESOMEONE		21113
91	Delroy Washington	d443ef12-46a8-487c-aab2-5810e411c251	21148
92	Tyshawn Sorey	25bb66e5-5010-44de-ac1f-7c431e124eeb	21327
93	Our Mercury	89116de7-0aa7-47f5-a36c-c7f7cadd7013	21603
94	John X	de6c91e4-bbc9-4ec6-9142-ba47654a7fa9	21624
95	Little Sammy Davis	bb0475ad-f101-4a2a-83b7-d06eae8f7b21	21986
96	Live by the fist		22128
97	Lukas Sherfey	61337ef9-3e4d-4228-870d-895e3caa1c6a	22141
